"LA ESCONDIDA","LA ESCONDIDA"
"KILOMETRO 548","LA ESCONDIDA"
"COLONIA EL CACIQUE LLORON","LA ESCONDIDA"
"LEGUA 41","LA ESCONDIDA"
"LAS CHACRAS","QUILINO"
"LOS CADILLOS","QUILINO"
"VILLA QUILINO","QUILINO"
"QUILINO","QUILINO"
"CARRENLEUFU","CARRENLEUFU"
"LAGO BLANCO","LAGO BLANCO"
"VILLA SANTOS TESEI","HURLINGHAM"
"HURLINGHAM","HURLINGHAM"
"WILLIAM C. MORRIS","HURLINGHAM"
"ORATORIO MORANTE","GODOY"
"GODOY","GODOY"
"CAMPO LA VICTORIA","GODOY"
"VILLA MERCEDES","VILLA MERCEDES"
"LA RIVERA","VILLA MERCEDES"
"DIQUE VULPIANI","VILLA MERCEDES"
"LA RIBERA","VILLA MERCEDES"
"SAN FRANCISCO DE ALFARCITO","BARRANCAS"
"SANTA ANA DE LA PUNA","BARRANCAS"
"TUSAQUILLAS","BARRANCAS"
"SANTA ANA","BARRANCAS"
"TRANCAS","BARRANCAS"
"RINCONADILLAS","BARRANCAS"
"SALADO","BARRANCAS"
"ABDON CASTRO TOLAY","BARRANCAS"
"SANTUARIO DE TRES POZOS","BARRANCAS"
"TOLARITO","BARRANCAS"
"28 DE JULIO","28 DE JULIO"
"NAUPA HUEN","NAUPA HUEN"
"CHILCA JULIANA","CHILCA JULIANA"
"EL MANZANO","MALARGUE"
"LAS CHACRAS","MALARGUE"
"MALARGUE","MALARGUE"
"LA JUNTA","MALARGUE"
"LUANCO","MALARGUE"
"LAS LEÑAS","MALARGUE"
"EL CHACAY","MALARGUE"
"AGUA ESCONDIDA","MALARGUE"
"MINACAR","MALARGUE"
"EL INFIERNILLO","MALARGUE"
"LOS CARRIZALES","MALARGUE"
"EL VATRO","MALARGUE"
"RINCON CHICO","MALARGUE"
"LA SALINILLA","MALARGUE"
"EL ALAMBRADO","MALARGUE"
"CALMUCO","MALARGUE"
"LLANO BLANCO","MALARGUE"
"PATA MORA","MALARGUE"
"RIO GRANDE","MALARGUE"
"LOS CORRALES","MALARGUE"
"EL CARAPACHO","MALARGUE"
"LA VALENCIANA","MALARGUE"
"LOS MOLLES","MALARGUE"
"MOGOTES ASPEROS","ESTANCIA DE GUADALUPE"
"OJO DE AGUA","ESTANCIA DE GUADALUPE"
"ESTANCIA DE GUADALUPE","ESTANCIA DE GUADALUPE"
"SAN FELIPE","ESTANCIA DE GUADALUPE"
"TRES LOMAS","ESTANCIA DE GUADALUPE"
"LA ARGENTINA","ESTANCIA DE GUADALUPE"
"CORREA","CORREA"
"BERRETTA","CORREA"
"ESTACION BERRETA","CORREA"
"EL CHALTEN","EL CHALTEN"
"EL ARBOLITO","COLON"
"LOS BARRILES","COLON"
"COLONIA LA PERLA","COLON"
"SARASA","COLON"
"PEARSON","COLON"
"COLON","COLON"
"KILOMETRO 404","BENITO JUAREZ"
"VILLA CACIQUE","BENITO JUAREZ"
"EL SAUCE","BENITO JUAREZ"
"BARKER","BENITO JUAREZ"
"BENITO JUAREZ","BENITO JUAREZ"
"CORONEL RODOLFO BUNGE","BENITO JUAREZ"
"LOPEZ","BENITO JUAREZ"
"SAN ANTONIO","BENITO JUAREZ"
"EL LUCHADOR","BENITO JUAREZ"
"LA TINTA","BENITO JUAREZ"
"TEDIN URIBURU","BENITO JUAREZ"
"LOS CONQUISTADORES","LOS CONQUISTADORES"
"GANCEDO","GANCEDO"
"LA BOLSA","GANCEDO"
"LABORDE","LABORDE"
"GENERAL GALARZA","GENERAL GALARZA"
"MOJOTORO","LA CALDERA"
"ISLAS DE VAQUEROS","LA CALDERA"
"SANTA GERTRUDIS","LA CALDERA"
"LA CALDERILLA","LA CALDERA"
"LOS SAUCES","LA CALDERA"
"LOS PORONGOS","LA CALDERA"
"LA CALDERA","LA CALDERA"
"EL GALLINATO","LA CALDERA"
"CAMPO ALEGRE","LA CALDERA"
"LA FALDA DE SAN ANTONIO","FRAY MAMERTO ESQUIU"
"EL HUECO","FRAY MAMERTO ESQUIU"
"LA TERCENA","FRAY MAMERTO ESQUIU"
"LA CARRERA","FRAY MAMERTO ESQUIU"
"POMANCILLO","FRAY MAMERTO ESQUIU"
"VILLA LAS PIRQUITAS","FRAY MAMERTO ESQUIU"
"COLLAGASTA","FRAY MAMERTO ESQUIU"
"SAN JOSE","FRAY MAMERTO ESQUIU"
"POMANCILLO OESTE","FRAY MAMERTO ESQUIU"
"POMANCILLO ESTE","FRAY MAMERTO ESQUIU"
"SAN ANTONIO","FRAY MAMERTO ESQUIU"
"CRUCE MUÑOZ","OLAVARRIA"
"VILLA ALFREDO FORTABAT","OLAVARRIA"
"CUARTEL II - AEROPUERTO","OLAVARRIA"
"ESPIGAS","OLAVARRIA"
"RECALDE","OLAVARRIA"
"CAMPO ELSSIRY","OLAVARRIA"
"EL PORVENIR","OLAVARRIA"
"SIERRAS BAYAS","OLAVARRIA"
"OLAVARRIA","OLAVARRIA"
"CHACRAS DE PIBUEL","OLAVARRIA"
"VIRGEN DE LA LOMA","OLAVARRIA"
"SAN PEDRO","OLAVARRIA"
"CALERA AVELLANEDA","OLAVARRIA"
"EL MIRADOR","OLAVARRIA"
"SAN QUILCO","OLAVARRIA"
"COLONIA SAN MIGUEL","OLAVARRIA"
"SIERRA CHICA","OLAVARRIA"
"LAS PIEDRITAS","OLAVARRIA"
"VILLA LA SERRANIA","OLAVARRIA"
"ITURREGUI","OLAVARRIA"
"VILLA MONICA","OLAVARRIA"
"BLANCAGRANDE","OLAVARRIA"
"CERRO SOTUYO","OLAVARRIA"
"COLONIA HINOJO","OLAVARRIA"
"MAPIS","OLAVARRIA"
"CAMPO BELGRANO","OLAVARRIA"
"VILLA ARRIETA","OLAVARRIA"
"BLANCA CHICA","OLAVARRIA"
"SAN GREGORIO","OLAVARRIA"
"ROCHA","OLAVARRIA"
"HINOJO","OLAVARRIA"
"COLONIA NIEVAS","OLAVARRIA"
"LA PARDA","OLAVARRIA"
"SAN JACINTO","OLAVARRIA"
"LA PROVIDENCIA","OLAVARRIA"
"SANTA LUISA","OLAVARRIA"
"POURTALE","OLAVARRIA"
